id,name
1,"Biscuits, confiseries et produits sucrés"
2,Biscuits-confiseries-produits sucrés
3,Boisson alcoolisée
4,Boisson non alcoolisée
5,Boulangerie
6,Café-Thé-Tisane
7,Céréeales-Riz-Pâtes
8,Charcuterie et fromage
9,Épices-Condiments-Vinaigrette
10,Farines et huiles
11,Fruits de mer 
12,Fruits et légumes
13,Pâtisserie
14,Prêt à manger
15,Produits animaux
16,Produits bioloques
17,Produits ethniques
18,Produits laitiers et œuf
19,Produits menagers
20,Produits surgelés
21,Sauces et soupes
22,Viandes
