id,name
2,"Biscuits, confiseries et produits sucrés"
3,Boisson alcoolisée
4,Boisson non alcoolisée
5,Boulangerie
6,Café-Thé-Tisane
7,Céréeales-Riz-Pâtes-huiles
8,Charcuterie
9,Épices-Condiments-Vinaigrette
11,Fruits de mer
12,Fruits et légumes
13,Pâtisserie
15,Produits animaux
16,Produits bioloques
17,Produits ethniques
18,Produits laitiers et œuf
19,Produits menagers
20,Produits surgelés et prêts à manger
21,Sauces et soupes
22,Viandes
25,"Soins: Corps, beauté, bébé"
,
,
