id,name,image
2,"Biscuits, confiseries et produits sucrés",Confiserie.jpg
3,Boisson alcoolisée,Boisson alcoolisee.jpg
4,Boisson non alcoolisée,Boisson non alcoolisee.jpg
5,Boulangerie,Boulangerie.jpg
6,Café-Thé-Tisane,Cafe.jpg
7,Céréeales-Riz-Pâtes-huiles,pates.jpg
8,Charcuterie,charcuterie.jpg
9,Épices-Condiments-Vinaigrette,Epice.jpg
11,Fruits de mer,fruit de mer.jpg
12,Fruits et légumes,fruit et legume.jpg
13,Pâtisserie,patisserie.jpg
15,Produits animaux,chien.jpg
16,Produits bioloques,bio.jpg
17,Produits ethniques,Ethnique.jpg
18,Produits laitiers et œuf,produit laitier.jpg
19,Produits menagers,menage.jpg
20,Produits surgelés et prêts à manger,pret a manger.jpg
21,Sauces et soupes,soupe.jpg
22,Viandes,viande.jpg
25,"Soins: Corps, beauté, bébé",corps.jpg
,,
,,
