subcategory_id,name,tags,id,unit_id
31,7-UP,"7-UP, 7 UP",1,2
31,7-UP diet,"7-UP diet, 7 UP diet",2,2
162,Abricot sec,"Abricot sec, Abricots sec, Abricot s_ch_, Abricots s_ch_s",3,1
81,Abricots dans sirop l_ger,"Abricots dans sirop, Abricot dans sirop",6,1
114,Absorbeur d'odeurs ,Absorbeur d'odeurs ,9,1
1,Absorbeur d'odeurs pour animaux,Absorbeur d'odeurs pour animaux,11,1
72,Activateur pour lave vaisselle,Activateur pour lave vaisselle,12,1
1,A_rosol contre les puces et les tiques,A_rosol contre les puces,13,1
72,Agent de rinage lave vaisselle ,Agent de rinage,14,1
3,Agneau gigot d_soss_,"Agneau gigot d_soss_, gigot d'Agneau d_soss_",17,1
3,Agneau hach_ maigre,Agneau hach_ maigre,18,1
3,Agneau roti d'_paule d_soss_,Agneau roti d'_paule d_soss_,19,1
5,Ail ,"Ail, Ails",20,1
83,Ail biologique,"Ail biologique, Ails biologiques, Ail bio, Ail en tube biologique, Ail en tube bio, Ail hach_ biologique, Ail hach_ bio",21,1
5,Ail broy_,"Ail broy_, Ail en pur_e, pur_e d'ail",23,1
74,Ail _minc_,Ail _minc_,25,1
132,Ail _minc_ biologique,Ail _minc_ biologique,26,1
74,Ail en flocons,Ail en flocons,28,1
74,Ail en poudre,Ail en poudre,29,1
74,Ail granul_,Ail granul_,36,1
132,Ail granul_ biologique,Ail granul_ biologique,37,1
176,Ail lyophilis_,"Ail lyophilis_, Ails lyophilis_s",40,1
20,Ail marin_,Ail marin_,41,1
73,Ailes de dindon ,"Ailes de dindon, Aile de dindon",45,1
153,Ailes de poulet ,"Ailes de poulet, Aile de poulet",48,1
196,Ailes de poulet ail et miel surgel_,Ailes de poulet ail et miel surgel_,49,1
25,Ailes de poulet BBQ en morceaux,"Ailes de poulet BBQ, Aile de poulet BBQ ",53,1
196,Ailes de poulet BBQ surgel_,"Ailes de poulet au bbq douces surgel_es, Ailes de poulet au bbq _pic_es surgel_es, Ailes de poulet BBQ surgel_, Ailes de poulet _pic_e surgel_",51,1
153,Ailes de poulet biologique,"Ailes de poulet biologique, Aile de poulet biologique",59,1
194,Ailes de poulet cashre,"Ailes de poulet cashre, Aile de poulet cashre",61,1
153,Ailes de poulet coup_es fraÓches,"Ailes de poulet coup_es, Aile de poulet coup_e",62,1
196,Ailes de poulet douce et croustillante surgel_,Ailes de poulet douce et croustillante surgel_,63,1
25,Ailes de poulet frites froides 6 morceaux,"Ailes de poulet frites, Aile de poulet frites",66,1
25,Ailes de poulet froides 8 morceaux avec salade,Ailes de poulet froides,67,1
196,Ailes de poulet sel et poivre surgel_,Ailes de poulet sel et poivre surgel_,68,1
196,Ailes de poulet surgel_ BBQ Kansas surgel_,"Ailes de poulet surgel_, Ailes de poulet surgel_es",69,1
196,Ailes poulet style Buffalo surgel_,Ailes poulet style Buffalo surgel_,72,1
58,A¥oli,A¥oli,73,1
160,Alimentaires biologiques sans gluten,alimentaires biologiques sans gluten,77,1
82,Allongeur surgel_,Allongeur surgel_,79,1
2,Alphabet lgumes bio ,"Alphabet lgumes bio, Alphabet lgumes biologique",82,1
162,Amande au chocolat,"Amande, Amandes",83,1
131,Amande chocolat au lait,Amande chocolat au lait,84,1
162,Amande fum_e,"Amande fum_e, Amandes fum_es, Amandes fum_e",85,1
162,Amande naturelle,"Amande naturelle, Amandes naturelles, Amandes nature, Amandes natures, Amande nature",86,1
162,Amande RNS,"Amande RNS, Amandes RNS",87,1
162,Amande tamari,"Amandes tamari, Amande tamari, Amandes tamaris, Amandes au tamari,",88,1
162,Amande Tranch_e,"Amande Tranch_e, Amandes Tranch_es",89,1
