id,chain_id,name,address,city,state,postcode,phonenumber,country,email
1,5,Costco Anjou,"7373 Rue Bombardier,",Montréal ,Québec,H1J 2V2,, Canada,
2,5,Costco Boisbriand,"3600 Avenue Des Grandes Tourelles,",Boisbriand,Québec,J7H 1M9,, Canada,
3,5,Costco Boucherville,"635 Chemin de Touraine,",Boucherville,Québec,J4B 0B6,, Canada,
4,5,Costco Brossard,"9430 Boulevard Taschereau,",Brossard,Québec,J4X 2W2,, Canada,
5,5,Costco Candiac,"60 Rue de Strasbourg,",Candiac,Québec,J5R 0B4,, Canada,
6,5,Costco Chicoutimi,"2500 Boulevard Talbot,",Chicoutimi,Québec,G7H 5B1,, Canada,
7,5,Costco Drummondville,"105 Rue Robert Bernard,",Drummondville,Québec,J2C 8N1,, Canada,
8,5,Costco Gatineau,"1100 Boulevard Maloney Ouest,",Gatineau,Québec,K1A 1L4,, Canada,
9,5,Costco Laval,"2999 Autoroute 440,",Laval,Québec,H7P 5P4,, Canada,
10,5,Costco Montréal,"300 Rue Bridge,",Montréal ,Québec,H3K 2C3,, Canada,
11,5,Costco  Marché Central,"1015 Rue du Marché Central,",Montréal ,Québec,H4N 3J8,, Canada,
12,5,Costco Pointe-Claire,"5701 Trans-Canada Hwy,",Pointe-Claire,Québec,H9R 5E8,, Canada,
13,5,Costco Québec,"440 Rue Bouvier,",Québec,Québec,G2J 1E3,, Canada,
14,5,Costco Saint-Hubert,"5025 Boulevard Cousineau,",Saint-Hubert,Québec,J3Y 3K7,, Canada,
15,5,Costco Saint-Jérôme,"1001 Boulevard Jean-Baptiste-Rolland Est,",Saint-Jérôme,Québec,J7Z 2G9,, Canada,
16,5,Costco Sainte-Foy,"3233 Avenue Watt,",Québec,Québec,G1X 3Y8,, Canada,
17,5,Costco Sherbrooke,"3400 Rue King Ouest,",Sherbrooke,Québec,J1L 1C9,, Canada,
18,5,Costco Terrebonne,"870 Montée des Pionniers,",Terrebonne,Québec,J6V 1N9,, Canada,
19,5,Costco Trois-Rivières,"3000 Boulevard des Récollets,",Trois-Rivières-Ouest,Québec,G9A 6M9,, Canada,
20,5,Costco Vaudreuil,"22400 Chemin Dumberry,",Vaudreuil-Dorion,Québec,J7V 0M8,, Canada,
21,41,Walmart Alma ,1755 avenue du Pont Sud, Alma,Québec,, QC 418-480-3883, Canada,
22,41,"Walmart Baie-Comeau, 630", boul. Laflèche, Baie-Comeau,Québec,, QC 418-589-9971, Canada,
23,41,"Walmart Beauport ,224", boul. Joseph-Casavant, Beauport,Québec,, QC 418-660-4943, Canada,
24,41,Walmart Brossard,9000 boul. Leduc,Brossard,Québec,J4Y 0G4, QC 450-672-5000, Canada,
25,41,Walmart Cap-de-la-Madeleine 300, rue Barkoff, Cap-de-la-Madeleine,Québec,, QC 819-379-2992, Canada,
26,41,"Walmart Châteauguay ,",250 boul. Brisebois, Châteauguay,Québec,, QC 450-699-3435, Canada,
27,41,"Walmart Chicoutimi ,", 1451 boul. Talbot, Chicoutimi,Québec,, QC 418-693-1500, Canada,
28,41,"Walmart Cowansville ,", 1770 rue du Sud, Cowansville,Québec,, QC 450-263-6006, Canada,
29,41,"Walmart Drummondville ,", 1205 boul. René-Lévesque, Drummondville,Québec,, QC 819-472-6313, Canada,
30,41,"Walmart Granby ,", 75 rue Simonds Nord, Granby,Québec,, QC 450-777-8863, Canada,
31,41,"Walmart Joliette ,1505", boul. Firestone, Joliette,Québec,, QC 450-752-5221, Canada,
32,41,"Walmart Kirkland ,17 000", autoroute Transcanadienne, Kirkland,Québec,, QC 514-695-3040, Canada,
33,41,"Walmart Lachute ,480", rue Bethany, Lachute,Québec,, QC 450-562-0255, Canada,
34,41,"Walmart Lachenaie ,1001", rue des Migrateurs, Lachenaie,Québec,, QC 450-657-7407, Canada,
35,41,"Walmart Lac-Mégantic ,3130", rue Laval, Lac-Mégantic,Québec,, QC 819-583-2882, Canada,
36,41,"Walmart LaSalle ,6797", boul. Newman, LaSalle,Québec,, QC 514-368-2248, Canada,
37,41,"Walmart Laval ,2075"," boul. Chomedey,  suite 100", Laval,Québec,,QC 450-681-1126, Canada,
38,41,Walmart Laval Ste-Dorothée (Supercentre) 700, autoroute Chomedey Ouest, Laval,Québec,, QC 450-969-3226, Canada,
39,41,Walmart Laval Est (Supercentre) 5205, boul. Robert-Bourassa, Laval,Québec,, QC 450-661-7447, Canada,
40,41,"Walmart Longueuil (S.) ,", 2877 chemin de Chambly,Longueuil,Québec,J4L 1M8, QC 450-670-5335, Canada,
41,41,"Walmart Longueuil ,", 1999 boul. Roland-Therrien,Longueuil,Québec,J4N 1A3, QC 450-448-2688, Canada,
42,41,"Walmart Lévis ,5303", rue Louis-H.-La Fontaine, Lévis,Québec,, QC 418-833-8555, Canada,
43,41,Walmart La Pocatière 161," route 230 Ouest,  suite 400", La Pocatière,Québec,, QC 418-856-2000, Canada,
44,41,Walmart Magog 1935, rue Sherbrooke, Magog,Québec,, QC 819-868-0471, Canada,
45,41,Walmart Mascouche (Supercentre) 155, Montée Masson, Mascouche,Québec,, QC 450-474-6010, Canada,
46,41,Walmart Matane 150, rue Piuze, Matane,Québec,, QC 418-566-4779, Canada,
47,41,Walmart Montréal (Côte-des-Neiges) , 6700 chemin de la Côte-des-Neiges,Montréal ,Québec,H3S 2B2, QC 514-737-1661, Canada,
48,41,Walmart Montréal , 5400 rue Jean-Talon Ouest,Montréal ,Québec,H4P 2T5, QC 514-735-5295, Canada,
49,41,Walmart Montréal (Dorval) 400, avenue Dorval, Dorval,Québec,, QC 514-636-1145, Canada,
50,41,Walmart Montréal (Hochelaga)  , 3121 avenue de Granby,Montréal ,Québec,J4L 1M8, QC 514-255-7676, Canada,
51,41,Walmart Montreal Saint-Léonard 7445, boul. Langelier, Saint-Léonard,Québec,, QC 514-899-1889, Canada,
52,41,Walmart Montréal-Nord , 6140 boul. Henri-Bourassa Est,Montréal ,Québec,H1G 5X3, QC 514-324-7853, Canada,
53,41,Walmart Pincourt 101, boul. Cardinal-Léger, Pincourt,Québec,, QC 514-453-5868, Canada,
54,41,Walmart Pointe-aux-Trembles 12 675, rue Sherbrooke S., Pointe-aux-Trembles,Québec,, QC 514-642-4441, Canada,
55,41,Walmart Québec 1700, boul. Lebourgneuf, Québec,Québec,, QC 418-623-7339, Canada,
56,41,Walmart Rosemère 401, boul. Curé-Labelle, Rosemère,Québec,, QC 450-435-2982, Canada,
57,41,Walmart Repentigny 100," boul. Brien, suite 66", Repentigny,Québec,, QC 450-654-8886, Canada,
58,41,Walmart Rivière-du-Loup 100, rue des Cerisiers, Rivière-du-Loup,Québec,, QC 418-862-3003, Canada,
59,41,Walmart Rimouski 415, montée, Rimouski,Québec,, QC 418-722-1990, Canada,
60,41,Walmart Sherbrooke 4050, boul. Josaphat-Rancourt, Sherbrooke,Québec,, QC 819-823-8382, Canada,
61,41,Walmart Sherbrooke (E.) (Fleurimont) 940, 13e Avenue Nord, Sherbrooke,Québec,, QC 819-346-2626, Canada,
62,41,Walmart Shawinigan 1600, boul. Royal, Shawinigan,Québec,, QC 819-537-3113, Canada,
63,41,Walmart Sainte-Foy 1470, rue Jules-Verne, Sainte-Foy,Québec,, QC 418-874-6068, Canada,
64,41,Walmart Saint-Romuald 700, rue de la Concorde, Saint-Romuald,Québec,, QC 418-834-5115, Canada,
65,41,Walmart Sainte-Agathe-des-Monts 400, rue Laverdure, Sainte-Agathe-des-Monts,Québec,, QC 819-326-9559, Canada,
66,41,Walmart Saint-Georges-de-Beauce 750, 107e Rue, Saint-Georges-de-Beauce,Québec,, QC 418-220-0101, Canada,
67,41,Walmart Saint-Eustache 764, boul. Arthur-Sauvé, Saint-Eustache,Québec,, QC 450-491-6922, Canada,
68,41,Walmart Saint-Constant 500, voie de desserte, Saint-Constant,Québec,, QC 450-632-2192, Canada,
69,41,Walmart Saint-Bruno-de-Montarville 1475, boul. Saint-Bruno, Saint-Bruno-de-Montarville,Québec,, QC 450-653-9996, Canada,
70,41,Walmart Saint-Jean-sur-Richelieu ,100 rue Omer-Marcil,Saint-Jean-sur-Richelieu,Québec,J2W 2Y4, QC 450-349-0666, Canada,
71,41,Walmart Salaberry-de-Valleyfield 2050, boul. Monseigneur-Langlois, Salaberry-de-Valleyfield,Québec,, QC 450-371-5188, Canada,
72,41,Walmart Saint-Jérôme 1030, boul. du Grand-Héron, Saint-Jérôme,Québec,, QC 450-438-6776, Canada,
73,41,Walmart Saint-Hyacinthe ,"5950, Rue Martineau",Saint-Hyacinthe,Québec,J2R 2H6,450-796-4001, Canada,
74,41,Walmart Sorel-Tracy 450, boul. Poliquin, Sorel-Tracy,Québec,, QC 450-743-2992, Canada,
75,41,Walmart Thetford Mines 1025, boul. Frontenac Est, Thetford Mines,Québec,, QC 418-338-4884, Canada,
76,41,Walmart Trois-Rivières 4520," boul. Royal, suite 820", Trois-Rivières,Québec,, QC 819-372-1181, Canada,
77,41,Walmart Vaudreuil-Dorion 3050, boul. de la Gare, Vaudreuil-Dorion,Québec,, QC 450-510-3314, Canada,
78,41,Walmart Victoriaville 110, boul. Arthabaska Ouest, Victoriaville,Québec,, QC 819-758-2654, Canada,
79,2, Marché Adonis Laval,"2425 Boulevard Curé-Labelle,",Laval,Québec,H7T 1R3,(450) 978-2333, Canada,courriel.laval@groupeadonis.ca
80,2,Marché Adonis Sauvé,"2001 Rue Sauvé Ouest,",Montréal ,Québec,H4N 3L6 ,(514) 382-8606, Canada,courriel.sauve@groupeadonis.ca
81,2, Marché Adonis Pierrefonds,"4601 Boulevard des Sources,",Roxboro,Québec,H8Y 3C5,(514) 685-5050, Canada,courriel.ddo@groupeadonis.ca
82,2,Marché Adonis Place Vertu,"3100 Boulevard Thimens,",Montréal ,Québec,H4R 0C9,(514) 904-6789, Canada,courriel.vertu@groupeadonis.ca
83,2, Marché Adonis Rive-Sud,"8880 Boulevard Leduc,",Brossard,Québec,J4Y 0G4,(450) 656-9595, Canada,courriel.brossard@groupeadonis.ca
84,2,Marché Adonis Centre-Ville,"2173 rue Sainte-Catherine Ouest,",Montréal ,Québec,H3H 1M9,(514) 933-4747, Canada,courriel.seville@groupeadonis.ca
85,2,Marché Adonis Mississauga,"1240 Eglinton Avenue West,",Mississauga,Québec,L5V 1N3,(905) 363-0707, Canada,website.mississauga@adonisgroup.ca
86,2,Marché Adonis Scarborough,"20 Ashtonbee Rd,",Scarborough,Québec,M1L 3K9,(416) 642-1515, Canada,website.scarborough@adonisgroup.ca
87,2,Marché Adonis Anjou,"7250 Boul. Des Roseraies,",Montréal ,Québec,H1M 2T5,(514) 493-6667, Canada,courriel.anjou@groupeadonis.ca
88,2,Marché Adonis Laval-Est,"2655 ave. des Aristocrates,",Laval,Québec,H7E 0H3,(450) 665-8801, Canada,courriel.laval440@groupeadonis.ca
